Frame Roll Pitch Yaw
1 -8.40675 3.26032 13.0277
2 -8.06048 -9.61482 13.0277
3 -12.8839 -21.2667 13.0277
4 -14.0415 -9.44527 13.0277
5 -5.44234 -10.7184 13.0277
6 -12.6104 -5.90637 13.0277
7 -7.44389 -9.02904 13.0277
8 -4.69666 7.14782 13.0277
9 -14.9778 -9.16457 13.0277
10 -13.8036 2.82198 13.0277
11 -14.2217 1.17172 13.0277
12 -14.6994 -10.3305 13.0277
13 -12.6364 -3.21245 13.0277
14 -7.23569 -1.59082 13.0277
15 -12.8177 -8.29061 13.0277
16 -10.3487 -3.45177 13.0277
17 -11.8844 -2.52724 13.0277
18 -13.705 -8.36777 13.0277
19 -5.3287 -0.343969 13.0277
20 0.0416044 9.13127 13.0277
21 -3.15832 3.65746 13.0277
22 -3.10944 2.11777 13.0277
23 -10.6753 -0.910287 13.0277
24 -4.78756 0.492075 13.0277
25 -10.1912 -0.607564 13.0277
26 -11.4009 -2.42098 13.0277
27 -0.270981 2.66583 13.0277
28 0.17899 2.51903 13.0277
29 -3.57161 3.28491 13.0277
30 3.81075 -6.66459 18.3972
31 -0.0392865 1.36181 20.038
32 -2.85009 -5.74739 22.0303
33 -7.6289 -9.38938 25.2236
34 4.63633 7.0905 25.2236
35 -15.6742 -16.7619 19.1002
36 0.840757 -1.39475 19.1002
37 -16.947 -16.7604 17.3066
38 -4.6313 -8.85821 24.069
39 -5.32088 -14.1921 24.1704
40 -7.39354 -19.9565 16.9053
41 -7.02007 -14.6421 24.5708
42 -14.0512 -18.4623 25.9015
43 -10.2607 -17.5835 20.4854
44 -13.2875 -19.4901 14.2789
45 -13.6401 -19.1512 9.20043
46 -13.3355 -14.6999 9.29713
47 -12.1573 -15.7801 5.01113
48 -10.6105 -8.83072 3.85555
49 -9.05782 -7.66569 -4.85186
50 -8.69709 -1.36118 -4.94016
51 -2.6275 -19.9977 -9.72006
52 -7.58247 -3.06171 -8.68354
53 -3.61199 -19.0855 -9.92536
54 -2.82499 -18.8431 -8.27039
55 -2.27746 -17.4091 -4.59365
56 -2.15692 -19.4852 -3.33887
57 -3.61517 -18.663 0.313489
58 -2.2628 -19.484 -3.26868
59 -2.27194 -18.4886 5.70374
60 2.03228 -19.3246 1.67251
61 -3.17919 -14.4004 6.77693
62 -0.522168 -16.4355 2.47762
63 -0.917798 -10.2252 3.76216
64 4.42182 -20.4162 3.79929
65 -1.70756 -10.6442 4.7991
66 3.44284 -19.6487 4.3714
67 -1.25796 -17.0015 6.45433
68 -2.77355 -11.2408 7.17726
69 0.482997 -20.6448 7.52806
70 -2.45566 -15.2168 9.56348
71 -3.85191 -18.3876 7.4447
72 -4.74362 -19.1055 11.5067
73 -4.2802 -18.4799 9.56
74 -5.14538 -19.4054 12.6556
75 -4.78481 -17.9438 10.414
76 -5.49156 -19.9753 15.5255
77 -6.76474 -18.4781 12.8914
78 -13.1978 -19.1865 15.1321
79 -13.2071 -19.4426 15.943
80 -6.06447 -18.8894 13.3783
81 -5.71778 -19.734 14.5873
82 -7.61443 -19.8704 15.4781
83 -5.2174 -19.7727 18.4654
84 -7.03379 -20.3807 18.3545
85 -4.91949 -19.1815 19.782
86 -7.63294 -17.7423 18.5644
87 -7.84815 -19.2741 18.612
88 -9.15528 -15.0694 17.9837
89 -9.08436 -16.1592 21.7914
90 -8.21832 -14.2338 21.0547
91 -9.25748 -17.6629 22.1677
92 -8.635 -16.8542 20.5137
93 -6.99736 -20.7209 21.5571
94 -7.53575 -20.3992 19.2505
95 -5.94944 -20.476 20.5651
96 -4.46583 -18.936 20.4354
97 -4.98621 -18.0524 22.7363
98 -6.94589 -21.1413 20.681
99 -6.21721 -17.0874 20.827
100 -7.96705 -17.9069 17.2297
101 -8.96697 -18.1134 16.933
102 -8.2478 -15.6314 11.5313
103 -7.54233 -16.0372 11.9034
104 -6.35385 -17.6407 14.6599
105 -5.75066 -13.2419 7.38846
106 -9.90329 -17.2418 11.5676
107 -7.16396 -16.2106 12.9043
108 -9.30007 -17.4217 15.7192
109 -8.56775 -15.9227 12.9889
110 -7.12021 -14.8425 13.6096
111 -2.022 -10.3757 13.2086
112 -6.221 -6.98896 13.2086
113 -12.5528 -17.3695 16.9374
114 -5.30943 -3.10174 26.8743
115 -14.4 -18.9469 26.8743
116 -14.07 -18.7178 17.0601
117 -5.8907 -8.75728 23.652
118 -6.59878 -10.789 28.7766
119 -8.54442 -12.1717 25.7323
120 -9.26262 -17.2162 27.9646
121 -5.18427 -9.82474 23.9032
122 -9.11866 -9.93468 25.3748
123 -10.185 -9.53552 25.8057
124 -13.3878 -12.0403 23.1339
125 -9.37693 -7.84391 23.7598
126 -11.3031 -9.48613 23.4213
127 -11.3416 -12.6251 18.5799
128 -13.515 -13.146 20.6355
129 -14.2181 -17.0812 17.0019
130 -16.6906 -16.3776 16.4911
131 -1.29256 -15.893 14.0933
132 -14.3106 -14.9147 17.9748
133 -3.14121 -15.5412 17.2748
134 5.29308 -5.54134 17.4835
135 -1.44729 -15.0451 17.1748
136 3.75931 -8.24955 19.1445
137 7.69664 -3.60105 18.7145
138 -7.15833 -12.5947 24.5424
139 -5.70469 -11.2773 23.9976
140 -11.3 -15.1738 16.138
141 -12.9637 -18.1261 19.8631
142 -1.12377 -13.9364 17.3853
143 -12.2599 -14.8327 18.3194
144 6.28568 -12.0424 18.3194
145 -9.51741 -16.0971 17.639
146 2.39041 -13.5962 11.5137
147 0.424815 -17.0754 13.8917
148 2.2984 -11.3431 15.9583
149 3.18214 -14.3228 14.7807
150 2.04541 -10.9254 20.6641
151 5.18011 -8.4328 12.8712
152 3.09207 -6.76047 15.1767
153 0.955369 3.99883 21.7191
154 4.7248 5.08425 21.7191
155 1.78917 -8.54672 18.6022
156 6.95388 2.69981 18.6022
157 1.00577 -11.7454 18.6022
158 -0.232882 -11.7045 18.6022
159 -10.0504 -10.9324 18.6022
160 -2.63147 -11.3743 18.6022
161 -6.90755 -15.4635 27.8367
162 -10.6798 -13.9928 28.5187
163 -10.9833 -13.4243 29.2819
164 -11.4444 -12.0418 30.1992
165 -12.55 -16.698 22.291
166 -12.7162 -14.8003 31.8511
167 3.55734 -9.63599 31.8511
168 -3.62755 -15.4044 32.5317
169 2.43846 -15.2695 29.1441
170 -3.05806 -16.396 27.0238
171 -7.4236 -13.2973 32.5727
172 -2.35592 -15.4293 29.7286
173 -4.51982 -15.9645 31.7375
174 -12.2707 -16.1053 33.1129
175 -6.41214 -17.1479 25.5466
176 1.16333 -11.5942 32.7422
177 -2.19698 -13.5258 23.6577
178 3.7909 -4.76609 23.6577
179 -12.5354 -16.3554 18.4598
180 0.805073 -3.63733 19.4889
181 -2.81751 -15.6723 11.0326
182 -15.624 -16.1998 14.0612
183 -11.4747 -20.3648 14.1581
184 -14.5647 -10.7152 22.6115
185 -7.37883 -17.4416 19.2156
186 -12.7247 -12.6255 24.1505
187 -5.86613 -16.368 25.6302
188 -8.71814 -15.9456 17.8464
189 -3.98089 -17.522 17.9337
190 -8.35521 -17.5668 19.3821
191 -13.626 -12.9935 25.5448
192 -11.0522 -16.9812 19.4361
193 -15.7654 -12.7382 20.0027
194 -12.3364 -15.0794 11.9924
195 -9.84252 -15.4462 11.4593
196 -5.36059 -14.8546 12.8133
197 -1.92812 -15.6125 12.077
198 -7.07682 -14.7637 2.49185
199 -5.76546 -16.4674 6.32683
200 -17.6981 -14.1085 7.84958
201 2.50003 -15.8282 6.26529
202 -16.304 -12.917 6.36055
203 2.04624 -13.4828 11.3101
204 -12.6593 -18.5665 9.68359
205 -13.075 -14.6895 9.68359
206 -12.843 -19.6056 10.5679
207 -15.4215 -16.5812 10.5679
208 -17.3773 -18.3196 19.3168
209 -16.2489 -18.8928 19.3168
210 -15.2851 -16.45 21.7157
211 -13.9733 -17.1301 23.6427
212 -13.1966 -17.7305 17.2225
213 -13.6478 -17.0709 17.7624
214 -14.4222 -20.7092 18.8155
215 -10.9972 -17.5143 17.8844
216 -9.98397 -16.2435 14.1211
217 -1.71996 -13.4624 19.6441
218 -10.7885 -18.7719 17.1422
219 -1.02471 -15.9556 18.9096
220 -11.5643 -17.4691 10.0869
221 -1.36028 -14.9508 10.0869
222 -7.7642 -16.8253 12.7739
223 -3.86952 -17.5169 12.7369
224 2.04225 -15.4108 14.237
225 -1.63848 -16.6931 12.5811
226 -11.2584 -19.9681 14.6372
227 -0.357035 -13.0636 7.97768
228 -8.83094 -18.7353 6.7207
229 -6.41517 -21.8057 10.2334
230 -8.24306 -18.279 9.69643
231 -8.13848 -21.4963 11.7491
232 -6.95138 -21.0251 12.0371
233 -2.75846 -17.1106 8.0825
234 -8.27593 -20.159 8.61012
