Frame Roll Pitch Yaw
0 -1.57368 -18.4455 25.9755
1 -1.17642 -17.7763 27.6527
2 -1.34004 -18.2418 28.1695
3 -3.08969 -19.0249 33.0137
4 -9.60971 -19.9526 19.4868
5 -11.9845 -20.4921 13.4753
6 -11.894 -20.3891 16.1113
7 -13.2577 -20.5834 19.6278
8 -12.496 -20.0161 22.3818
9 -11.6963 -18.795 17.3378
10 -12.7847 -17.5956 17.4588
11 -13.0832 -17.0645 15.958
12 -12.6604 -17.9957 25.326
13 -12.1405 -17.3671 22.1812
14 -12.2234 -16.5912 22.4571
15 -13.8832 -15.9115 25.3198
16 -13.4282 -15.4118 29.3376
17 -13.7545 -14.5156 24.6636
18 -13.7511 -13.5967 21.6207
19 -13.0049 -13.0643 22.4458
20 -12.929 -12.4511 15.6306
21 -13.572 -13.3886 16.1342
22 -12.6615 -13.0464 17.7872
23 -12.9643 -12.8451 3.75728
24 -13.559 -14.6401 7.21309
25 -13.7803 -12.0604 13.3583
26 -12.3058 -12.557 19.7077
27 -12.363 -13.418 13.9343
28 -12.5149 -13.3466 8.51285
29 -12.9118 -11.391 15.995
30 -14.1242 -11.121 5.21363
31 -13.5441 -10.6677 10.5102
32 -13.5722 -11.7357 18.7223
33 -13.5136 -10.9723 21.492
34 -13.4742 -10.9635 19.1954
