Frame Roll Pitch Yaw
1 0.855471 -9.22514 8.0522
2 0.855471 -9.22514 8.0522
3 0.855471 -9.22514 8.0522
4 0.855471 -9.22514 8.0522
5 0.855471 -9.22514 8.0522
6 0.855471 -9.22514 8.0522
7 0.855471 -9.22514 8.0522
8 0.855471 -9.22514 8.0522
9 0.855471 -9.22514 8.0522
10 0.855471 -9.22514 8.0522
11 0.855471 -9.22514 8.0522
12 0.855471 -9.22514 8.0522
13 0.855471 -9.22514 8.0522
14 0.855471 -9.22514 8.0522
15 0.855471 -9.22514 8.0522
16 0.855471 -9.22514 8.0522
17 0.855471 -9.22514 8.0522
18 0.855471 -9.22514 8.0522
19 0.855471 -9.22514 8.0522
20 0.855471 -9.22514 8.0522
21 0.855471 -9.22514 8.0522
22 0.855471 -9.22514 8.0522
23 0.855471 -9.22514 8.0522
24 0.855471 -9.22514 8.0522
25 0.855471 -9.22514 8.0522
26 0.855471 -9.22514 8.0522
27 0.855471 -9.22514 8.0522
28 0.855471 -9.22514 8.0522
29 0.855471 -9.22514 8.0522
30 0.855471 -9.22514 8.0522
31 0.855471 -9.22514 8.0522
32 0.855471 -9.22514 8.0522
33 0.855471 -9.22514 8.0522
34 0.855471 -9.22514 8.0522
35 0.855471 -9.22514 8.0522
36 0.855471 -9.22514 8.0522
37 0.855471 -9.22514 8.0522
38 0.855471 -9.22514 8.0522
39 0.855471 -9.22514 8.0522
40 0.855471 -9.22514 8.0522
41 0.855471 -9.22514 8.0522
42 0.855471 -9.22514 8.0522
43 0.855471 -9.22514 8.0522
44 0.855471 -9.22514 8.0522
45 0.855471 -9.22514 8.0522
46 0.855471 -9.22514 8.0522
47 0.855471 -9.22514 8.0522
48 0.855471 -9.22514 8.0522
49 0.855471 -9.22514 8.0522
50 0.855471 -9.22514 8.0522
51 0.855471 -9.22514 8.0522
52 0.855471 -9.22514 8.0522
53 0.855471 -9.22514 8.0522
54 0.855471 -9.22514 8.0522
55 0.855471 -9.22514 8.0522
56 0.855471 -9.22514 8.0522
57 0.855471 -9.22514 8.0522
58 0.855471 -9.22514 8.0522
59 0.855471 -9.22514 8.0522
60 0.855471 -9.22514 8.0522
61 0.855471 -9.22514 8.0522
62 0.855471 -9.22514 8.0522
63 0.855471 -9.22514 8.0522
64 0.855471 -9.22514 8.0522
65 0.855471 -9.22514 8.0522
66 0.855471 -9.22514 8.0522
67 0.855471 -9.22514 8.0522
68 0.855471 -9.22514 8.0522
69 0.855471 -9.22514 8.0522
70 0.855471 -9.22514 8.0522
71 0.855471 -9.22514 8.0522
72 0.855471 -9.22514 8.0522
73 -9.59409 -0.772241 25.457
74 -9.47559 -2.45958 27.4222
75 -11.0215 -4.43959 29.1526
76 -10.4392 -4.55806 30.982
77 -9.8847 -5.92527 30.4441
78 -9.20434 -5.54223 30.4127
79 -8.0803 -5.9519 30.3669
80 -7.23138 -6.37703 32.0
81 -5.53019 -6.46917 32.5371
82 -5.42662 -5.6278 38.0904
83 -5.7088 -5.37797 38.7035
84 -6.10617 -7.48889 36.1711
85 -4.07841 -6.62785 33.1502
86 -5.02072 -6.47413 32.4507
87 -5.33623 -2.5799 30.0444
88 -5.11642 -2.69217 31.8053
89 -3.96954 -3.34568 28.3035
90 -4.01979 -4.0836 31.1127
91 -3.73051 -5.10441 30.4572
92 -2.79739 -3.65486 29.0814
93 -5.23358 -2.07698 26.591
94 -4.96087 -1.61606 24.8706
95 -4.93034 -1.5893 25.2932
96 -4.77413 -2.09364 22.5399
97 -4.49305 -3.31907 18.4034
98 -3.10537 -3.9445 12.7163
99 -2.38861 -3.65654 11.0216
100 -1.6463 -2.80167 7.84474
101 -2.04404 -1.64023 0.6737
102 -0.407562 -2.6182 -3.16352
103 0.211684 -1.35321 -3.93061
104 1.27613 -1.65279 -5.29138
105 1.9679 -1.19459 -6.29175
106 2.85173 -1.92624 -8.68154
107 5.41223 -2.5361 -12.2224
108 5.77803 -3.82865 -16.9924
109 6.57946 -5.37714 -18.989
110 8.33376 -5.28304 -18.1712
111 9.31182 -5.66799 -19.3174
112 9.38109 -8.32889 -19.6024
113 9.1925 -8.51953 -19.9847
114 10.2545 -10.533 -19.0489
115 11.7664 -12.9106 -17.4524
116 11.6379 -19.5485 -16.8071
117 8.41856 -21.7572 -14.5045
118 3.41895 -18.1841 -9.21175
119 0.855471 -9.22514 8.0522
120 0.855471 -9.22514 8.0522
121 0.855471 -9.22514 8.0522
122 0.855471 -9.22514 8.0522
123 0.855471 -9.22514 8.0522
124 0.855471 -9.22514 8.0522
125 4.21089 -16.7494 -4.46559
126 4.14789 -13.3894 -1.8186
127 3.80341 -14.0107 -2.3408
128 1.8696 -11.6037 0.718343
129 1.3052 -9.99516 2.04762
130 -0.208544 -9.49165 6.09298
131 -2.24299 -8.79834 7.69875
132 -2.44715 -7.73662 9.32683
133 -2.34253 -7.09908 13.3738
134 -2.94341 -9.15539 13.7712
135 -2.37378 -9.06089 15.124
136 -2.78487 -7.05119 17.8683
137 -5.34236 -7.18542 18.924
138 -5.95391 -5.23135 22.8678
139 -6.42756 -4.63127 23.9327
140 -7.41914 -2.76463 25.8373
141 -7.62927 -2.30255 25.6708
142 -7.9386 -1.94052 25.2759
143 -8.0255 -2.08077 25.7297
144 -8.08275 -2.2985 25.7134
145 -8.27192 -2.37232 25.7683
146 -8.73841 -2.11077 26.4558
147 -8.5487 -2.09409 26.4329
148 -8.13299 -1.84371 27.6747
149 -8.06917 -1.73484 27.2809
150 -8.36747 -2.02511 26.6931
151 -8.00378 -2.36428 25.5424
152 -7.56746 -2.86361 23.9045
153 -7.29671 -3.31919 24.063
154 -6.83335 -3.59812 23.7201
155 -6.88939 -3.76031 22.7795
156 -7.4168 -4.04295 22.5841
157 -6.94627 -4.08915 22.1253
158 -6.43753 -4.13316 22.1576
159 -7.48312 -4.0269 22.6022
160 -7.00674 -4.08919 22.7175
161 -6.16779 -4.05412 21.7577
162 -5.27563 -4.38084 15.4605
163 -4.78739 -4.73662 15.3024
164 -5.30176 -4.60178 14.3555
165 -4.29975 -4.52674 13.4394
166 -3.28393 -5.14675 13.5448
167 -3.19129 -6.88722 13.3664
168 -3.09008 -5.88154 12.8926
169 -1.94512 -5.56396 12.3318
170 -2.54561 -5.26666 10.9792
171 -2.72657 -4.73843 10.2237
172 -5.29837 -4.90147 8.56612
173 -6.06622 -4.83376 8.70035
174 -5.99044 -3.9874 9.10433
175 -5.18018 -3.80884 9.19273
176 -4.1243 -3.69523 8.78969
177 -3.82902 -3.18515 8.5648
178 -2.90961 -2.18555 8.95121
179 -6.99569 -2.76002 7.09532
180 -8.26606 -5.02047 5.72799
181 -8.7128 -4.88848 6.85852
182 -8.41169 -5.62769 7.50562
183 -7.7857 -5.98333 8.45772
184 -8.73382 -5.94091 8.4244
185 -9.8003 -6.5891 10.6077
186 -9.73271 -7.47878 13.6618
187 -10.0581 -5.2538 13.9
188 -10.8142 -6.65426 13.0884
189 -10.228 -6.62223 13.1495
190 -8.5862 -7.82424 13.4759
191 -8.18491 -7.90282 12.3036
192 -7.44037 -8.35503 12.8792
193 -6.32259 -8.14448 13.779
194 -6.07502 -7.65834 13.5369
195 -7.25452 -6.15235 14.321
196 -6.29645 -5.97845 16.6723
197 -6.34073 -6.20778 17.8762
198 -5.38718 -6.07847 20.5169
199 -6.46376 -6.35659 20.6588
200 -6.57948 -7.7609 22.0963
201 -5.71313 -8.07028 21.8094
202 -5.96011 -7.76104 22.5644
203 -6.23515 -7.28805 23.0274
204 -6.21437 -6.87637 23.8146
205 -6.58804 -6.80797 24.4883
206 -6.89514 -7.19022 23.3756
207 -7.97796 -7.10298 24.2866
208 -8.086 -7.42683 24.9932
209 -8.45669 -7.29619 27.2453
210 -8.269 -7.61704 28.0816
211 -8.1162 -7.78882 27.9719
212 -8.46719 -7.6567 28.8238
213 -8.88548 -7.62864 25.8802
214 -9.24699 -7.00689 27.667
215 -9.11954 -7.8766 27.3259
216 -9.33212 -7.95779 27.5916
217 -9.07599 -8.13206 29.4874
218 -9.41777 -7.69359 30.5601
219 -8.95698 -7.67738 31.0541
220 -9.32708 -7.91752 31.1906
221 -9.1474 -7.8423 30.6496
222 -8.26964 -7.31547 30.8146
223 -8.38975 -7.13093 30.3013
224 -7.41682 -6.12897 30.5093
225 -7.71271 -6.87922 30.7064
226 -8.25482 -7.15346 30.5144
227 -8.69502 -7.07129 29.9913
228 -8.53994 -6.62772 30.6819
229 -8.99597 -6.91584 30.8438
230 -9.38231 -6.70498 30.6674
231 -9.36571 -7.25597 30.7245
